item_cd,market_group,n_obs,p_mean,obs_mean,p_sd,obs_sd,p_skew,obs_skew,p_min,obs_min,p_max,obs_max
215,11,12,0.475,8.777347620838142,0.46,0.7807681721481331,0.929,-0.7588431554999938,0.623,7.346655163176539,0.877,9.488047863280759
215,21,11,0.504,8.532856312855506,0.554,0.5729145914080239,0.968,-1.0904096009164135,0.699,7.300472814267799,0.916,8.987321812850125
215,22,10,0.484,8.641062231586464,0.721,0.43662198508327627,0.996,-1.601585498753709,0.699,7.601402334583733,0.925,8.987321812850125
215,24,10,0.462,8.84361480060603,0.638,0.5214748621919011,0.971,-1.1312605473654547,0.63,7.754052639035757,0.914,9.239996256883693
221,11,10,0.421,10.14293405113768,0.805,0.38002335436475176,0.17,0.547799331451239,0.06,9.809231816610408,0.728,10.6782377612977
221,21,10,0.527,9.980440160200077,0.907,0.2874589387092177,0.62,-0.1333259043100881,0.189,9.546884034617925,0.911,10.308985993422082
221,25,10,0.51,9.977681669181274,0.893,0.2923858646050177,0.317,0.25690032937361973,0.134,9.61587214452889,0.721,10.499600568082863
223,11,16,0.474,10.309083873381152,0.562,0.60329033350407,0.529,-0.028602574142742334,0.447,9.239996256883693,0.744,11.149096419938578
223,21,11,0.464,10.762554118566356,0.416,0.9716555905577198,0.879,-0.6551154821225461,0.611,9.105090961257085,0.824,11.6172944892629
223,22,10,0.41,11.036833862818293,0.406,0.879955407622303,0.944,-0.8711298351646213,0.481,9.680406499268875,0.832,11.719947764402807
223,24,10,0.497,10.535214162047474,0.512,0.6147600537049024,0.954,-1.0070763125667275,0.689,9.32375833901174,0.91,10.97337452485014
223,25,10,0.483,10.522370633293852,0.584,0.5906185190515596,0.918,-0.7949965010409253,0.589,9.433563920090563,0.847,11.034905792929415
224,11,16,0.501,8.605937256353975,0.395,1.0293795460936592,0.32,0.23360905378721028,0.148,7.5126175446745105,0.751,9.913487387114461
224,21,11,0.48,8.84551071654412,0.42,0.9336470206658348,0.855,-0.5849998553293838,0.485,7.438971592395862,0.792,9.741027444837728
224,22,10,0.447,9.036448548741319,0.342,0.9848721603054389,0.94,-0.9189778798976992,0.653,7.313886831633462,0.831,9.798182590890704
224,24,10,0.463,9.150120667267782,0.357,0.955547436690407,0.926,-0.8731164542068075,0.525,7.736743682453495,0.891,9.77571099759397
224,25,10,0.469,9.010063729155707,0.419,0.940499789235447,0.939,-0.8999226916047199,0.589,7.415175109613295,0.86,9.692828247710418
225,11,16,0.524,9.178643415515527,0.586,0.5421689423537095,0.741,-0.30953398169653923,0.378,8.291797105048733,0.868,9.820160289946374
225,21,11,0.467,9.423492679513584,0.644,0.4857050703889653,0.911,-0.7485753658049603,0.451,8.575650760987806,0.896,9.852246888342531
225,22,10,0.427,9.520486219684477,0.675,0.47711825464065505,0.981,-1.2823289635613722,0.617,8.476579508530941,0.942,9.798182590890704
225,24,10,0.418,9.54425236127079,0.689,0.4654924511569068,0.981,-1.1870937506638222,0.566,8.566173813637858,0.925,9.825580063659602
225,25,10,0.457,9.404942623678636,0.862,0.32938921060213505,0.967,-1.0499087994368124,0.404,8.73568594451502,0.926,9.680406499268875
226,11,16,0.496,8.84467793360346,0.348,1.255596873911663,0.303,0.23255138840351763,0.141,7.528869256642251,0.707,10.50783084142058
226,21,11,0.461,9.337437517304108,0.343,1.2504342103256096,0.846,-0.5689755544927831,0.456,7.565793282428515,0.798,10.463131911491967
226,22,10,0.456,9.5882835457442,0.376,1.1166243275241698,0.936,-0.8522496233792465,0.568,7.8636512654486515,0.855,10.434145214930487
226,25,10,0.483,9.381901611458098,0.376,1.021253965062538,0.937,-0.8774044739795928,0.622,7.67368812926773,0.813,10.239995502805316
