"forecast_id","analysis_date","item_cd","market_group","horizon","forecast_mean","forecast_median","forecast_std","ci_lower","ci_upper","pi_lower","pi_upper","model_type","n_observations","pooling_level","created_at"
827,20260129,318,"31",3,1685.480339490214,1572.4175017089315,660.3758068315552,741.4849675189116,3277.2035211642915,741.4849675189116,3277.2035211642915,empirical_bayes,3,partial,"2026-01-29 10:22:39"
828,20260129,318,"37",1,1665.7239736893669,1575.2336725882135,538.2895103763681,839.8780500528425,2833.420176594495,839.8780500528425,2833.420176594495,empirical_bayes,3,partial,"2026-01-29 10:22:39"
829,20260129,318,"37",3,1648.7486227063682,1564.9541801203586,557.0664714065915,807.2309917472606,3021.5091707093893,807.2309917472606,3021.5091707093893,empirical_bayes,3,partial,"2026-01-29 10:22:39"
830,20260129,318,"38",1,1622.2730452523667,1457.179519259059,755.8948808179103,611.7234037981289,3426.789010232338,611.7234037981289,3426.789010232338,empirical_bayes,3,partial,"2026-01-29 10:22:39"
831,20260129,318,"38",3,1647.5229341110294,1514.5342757356789,767.2636797823316,596.9485897338967,3509.001022495253,596.9485897338967,3509.001022495253,empirical_bayes,3,partial,"2026-01-29 10:22:39"
832,20260129,319,"11",1,1544.9744259783188,1489.021632664214,435.3504126351599,851.8771053928834,2555.1363580855987,851.8771053928834,2555.1363580855987,empirical_bayes,9,partial,"2026-01-29 10:22:39"
833,20260129,319,"11",3,1570.3439476569652,1508.7681231495226,465.00367539420034,842.0566578919629,2685.9743809565057,842.0566578919629,2685.9743809565057,empirical_bayes,9,partial,"2026-01-29 10:22:39"
834,20260129,319,"11",7,1553.165335949278,1509.0464525993157,440.0366655015234,882.177539216038,2563.506299364783,882.177539216038,2563.506299364783,empirical_bayes,9,partial,"2026-01-29 10:22:39"
835,20260129,319,"21",1,1523.5415676356158,1500.1365018102006,306.1180034386432,1009.7935302073163,2228.125869880649,1009.7935302073163,2228.125869880649,empirical_bayes,4,partial,"2026-01-29 10:22:39"
836,20260129,319,"21",3,1500.1095626861488,1464.4643831392682,321.2370182671335,983.5223377082749,2208.7747607512565,983.5223377082749,2208.7747607512565,empirical_bayes,4,partial,"2026-01-29 10:22:39"
837,20260129,319,"22",1,1474.8068832476297,1417.6688149196243,421.1829403120122,847.9967768118187,2463.8229138776514,847.9967768118187,2463.8229138776514,empirical_bayes,3,partial,"2026-01-29 10:22:39"
838,20260129,319,"22",3,1531.3278168775014,1477.5050433780957,447.15423962887814,820.1699798603438,2591.9282411046884,820.1699798603438,2591.9282411046884,empirical_bayes,3,partial,"2026-01-29 10:22:39"
839,20260129,319,"24",1,1505.5317500330993,1446.1109257660448,464.49860624425526,801.5961450894604,2570.1893837181624,801.5961450894604,2570.1893837181624,empirical_bayes,3,partial,"2026-01-29 10:22:39"
840,20260129,319,"24",3,1517.9814700483944,1453.0542614523665,495.9564205920484,757.7798192245442,2719.757913168333,757.7798192245442,2719.757913168333,empirical_bayes,3,partial,"2026-01-29 10:22:39"
841,20260129,319,"25",1,1524.5426635242072,1469.0007868386465,423.917017764618,833.6519906802644,2554.106618886244,833.6519906802644,2554.106618886244,empirical_bayes,3,partial,"2026-01-29 10:22:39"
842,20260129,319,"25",3,1515.078173996429,1457.112949762905,448.07243772285045,860.8989646760915,2505.1955843860237,860.8989646760915,2505.1955843860237,empirical_bayes,3,partial,"2026-01-29 10:22:39"
843,20260129,319,"31",1,1558.6120097041503,1508.9077724236683,364.9508941964324,967.6437767971588,2363.2135414296413,967.6437767971588,2363.2135414296413,empirical_bayes,6,partial,"2026-01-29 10:22:39"
844,20260129,319,"31",3,1535.4293585608061,1480.7170862119394,385.34837096906665,923.1424773077955,2458.6863458296584,923.1424773077955,2458.6863458296584,empirical_bayes,6,partial,"2026-01-29 10:22:39"
845,20260129,319,"37",1,1546.5333311692843,1500.4502089780117,341.9224647060171,995.5648884346768,2344.1085342420747,995.5648884346768,2344.1085342420747,empirical_bayes,3,partial,"2026-01-29 10:22:39"
846,20260129,319,"37",3,1536.921412581278,1490.4471066347216,356.1204080354071,964.0112807998694,2330.1481525797667,964.0112807998694,2330.1481525797667,empirical_bayes,3,partial,"2026-01-29 10:22:39"
847,20260129,319,"38",1,1580.4585562424893,1500.3879077246474,554.1942634903995,779.1017907940831,2971.3266790114662,779.1017907940831,2971.3266790114662,empirical_bayes,3,partial,"2026-01-29 10:22:39"
848,20260129,319,"38",3,1628.4963347545954,1502.7189790551297,608.324564883852,793.7039249955092,3210.4403427874527,793.7039249955092,3210.4403427874527,empirical_bayes,3,partial,"2026-01-29 10:22:39"
849,20260129,411,"11",1,67801.43393744038,42988.97889308739,112613.54424588283,5925.443654694877,275025.11514753435,5925.443654694877,275025.11514753435,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
850,20260129,411,"11",3,69810.90399209093,43144.53087932002,105654.00096543206,7055.933081628877,296425.0600039183,7055.933081628877,296425.0600039183,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
851,20260129,411,"11",7,65338.48873262324,42928.37021706822,76796.13296017608,6711.970538394377,261258.72321902213,6711.970538394377,261258.72321902213,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
852,20260129,411,"11",14,68729.44478466579,44273.835352138754,86046.49441933738,5825.545070811667,267473.70916039904,5825.545070811667,267473.70916039904,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
853,20260129,411,"21",1,81713.53495670312,49581.04223275732,146527.87877489664,6947.146489627158,341291.04274998594,6947.146489627158,341291.04274998594,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
854,20260129,411,"21",3,81331.32240417968,49019.74947124081,116712.61137126741,7345.893531763161,356633.7737131793,7345.893531763161,356633.7737131793,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
855,20260129,411,"21",7,81070.47538748619,50641.98504030405,113294.22884068382,6948.9398050026975,323308.44846503425,6948.9398050026975,323308.44846503425,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
856,20260129,411,"22",1,71519.2931753364,50179.51536953804,72342.83259212173,9418.61910805995,275093.84960309864,9418.61910805995,275093.84960309864,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
857,20260129,411,"22",3,76568.37701416119,51370.141929154,94741.88611361916,8528.117470707186,283595.3952454772,8528.117470707186,283595.3952454772,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
858,20260129,411,"22",7,77078.0244569144,51431.61378235212,103614.68652385646,9847.619478098555,289204.5932004081,9847.619478098555,289204.5932004081,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
859,20260129,411,"24",1,92100.26988893258,53378.91512425628,178181.48508280708,7922.189081028949,396032.2677625103,7922.189081028949,396032.2677625103,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
860,20260129,411,"24",3,90450.94374861085,53265.06798186833,170242.53897351847,6912.978613733315,362994.03737677075,6912.978613733315,362994.03737677075,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
861,20260129,411,"24",7,90459.51574619635,53883.14752978021,135324.88007185177,6993.307660195859,384175.77264265966,6993.307660195859,384175.77264265966,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
862,20260129,411,"25",1,80574.41630644462,52565.19273477179,102137.98518925,9140.452834794647,324655.7365844714,9140.452834794647,324655.7365844714,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
863,20260129,411,"25",3,79861.49945088936,53840.66544028417,95192.40074698214,9284.333440095634,298842.3907998266,9284.333440095634,298842.3907998266,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
864,20260129,411,"25",7,85008.45268332146,56050.36669083251,115214.84244281233,9878.036418541516,331782.2874472912,9878.036418541516,331782.2874472912,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
865,20260129,411,"31",1,47512.3254455961,40082.015367169,30726.94520479174,12578.169298008297,124993.85444523215,12578.169298008297,124993.85444523215,empirical_bayes,6,partial,"2026-01-29 10:22:39"
866,20260129,411,"31",3,47599.84222086184,39424.28977667811,29980.08872291536,11739.60311658213,127454.31398205561,11739.60311658213,127454.31398205561,empirical_bayes,6,partial,"2026-01-29 10:22:39"
867,20260129,411,"37",1,47422.77614459707,39258.06231919574,31897.187536372403,12584.126210187218,138167.44930491352,12584.126210187218,138167.44930491352,empirical_bayes,3,partial,"2026-01-29 10:22:39"
868,20260129,411,"37",3,47677.87010048888,39117.97470729031,32004.164235113876,12204.80311534866,127696.58377637928,12204.80311534866,127696.58377637928,empirical_bayes,3,partial,"2026-01-29 10:22:39"
