"fact_id","exmn_ymd","item_cd","mrkt_cd","ctgry_cd","ctgry_nm","item_nm","price","price_type","created_at"
834,20240102,151,220024,100,식량작물,고구마,4330.0,retail,"2026-01-29 10:22:18"
835,20240102,151,210404,100,식량작물,고구마,3980.0,retail,"2026-01-29 10:22:18"
844,20240102,152,330401,100,식량작물,감자,270.0,retail,"2026-01-29 10:22:18"
848,20240102,152,390001,100,식량작물,감자,360.0,retail,"2026-01-29 10:22:18"
849,20240102,152,370001,100,식량작물,감자,310.0,retail,"2026-01-29 10:22:18"
853,20240102,152,110409,100,식량작물,감자,483.0,retail,"2026-01-29 10:22:18"
854,20240102,152,110212,100,식량작물,감자,300.0,retail,"2026-01-29 10:22:18"
855,20240102,152,210022,100,식량작물,감자,370.0,retail,"2026-01-29 10:22:18"
856,20240102,152,210402,100,식량작물,감자,245.0,retail,"2026-01-29 10:22:18"
857,20240102,152,230036,100,식량작물,감자,300.0,retail,"2026-01-29 10:22:18"
858,20240102,152,240121,100,식량작물,감자,300.0,retail,"2026-01-29 10:22:18"
859,20240102,152,250112,100,식량작물,감자,300.0,retail,"2026-01-29 10:22:18"
860,20240102,152,320001,100,식량작물,감자,250.0,retail,"2026-01-29 10:22:18"
861,20240102,152,330001,100,식량작물,감자,250.0,retail,"2026-01-29 10:22:18"
862,20240102,152,350001,100,식량작물,감자,260.0,retail,"2026-01-29 10:22:18"
863,20240102,152,380001,100,식량작물,감자,280.0,retail,"2026-01-29 10:22:18"
864,20240102,152,260001,100,식량작물,감자,270.0,retail,"2026-01-29 10:22:18"
865,20240102,152,110213,100,식량작물,감자,300.0,retail,"2026-01-29 10:22:18"
866,20240102,152,360402,100,식량작물,감자,280.0,retail,"2026-01-29 10:22:18"
867,20240102,152,220024,100,식량작물,감자,310.0,retail,"2026-01-29 10:22:18"
868,20240102,152,110402,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
869,20240102,152,210401,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
870,20240102,152,220403,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
871,20240102,152,240401,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
872,20240102,152,250403,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
873,20240102,152,360401,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
874,20240102,152,321411,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
875,20240102,152,310405,100,식량작물,감자,490.0,retail,"2026-01-29 10:22:18"
876,20240102,152,380403,100,식량작물,감자,621.0,retail,"2026-01-29 10:22:18"
877,20240102,152,210404,100,식량작물,감자,498.0,retail,"2026-01-29 10:22:18"
878,20240102,152,110410,100,식량작물,감자,497.0,retail,"2026-01-29 10:22:18"
879,20240102,211,110212,200,채소류,배추,3380.0,retail,"2026-01-29 10:22:18"
880,20240102,211,110402,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
881,20240102,211,110403,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
882,20240102,211,110406,200,채소류,배추,2990.0,retail,"2026-01-29 10:22:18"
884,20240102,211,210401,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
885,20240102,211,210402,200,채소류,배추,4990.0,retail,"2026-01-29 10:22:18"
886,20240102,211,220403,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
887,20240102,211,230036,200,채소류,배추,4000.0,retail,"2026-01-29 10:22:18"
888,20240102,211,230401,200,채소류,배추,2990.0,retail,"2026-01-29 10:22:18"
890,20240102,211,240401,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
891,20240102,211,240402,200,채소류,배추,2490.0,retail,"2026-01-29 10:22:18"
893,20240102,211,250402,200,채소류,배추,2990.0,retail,"2026-01-29 10:22:18"
894,20240102,211,250403,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
896,20240102,211,310402,200,채소류,배추,2990.0,retail,"2026-01-29 10:22:18"
897,20240102,211,320001,200,채소류,배추,3760.0,retail,"2026-01-29 10:22:18"
898,20240102,211,330001,200,채소류,배추,4330.0,retail,"2026-01-29 10:22:18"
899,20240102,211,330401,200,채소류,배추,3090.0,retail,"2026-01-29 10:22:18"
900,20240102,211,350001,200,채소류,배추,3830.0,retail,"2026-01-29 10:22:18"
901,20240102,211,350401,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
902,20240102,211,360401,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
903,20240102,211,370401,200,채소류,배추,2490.0,retail,"2026-01-29 10:22:18"
904,20240102,211,372401,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
907,20240102,211,390001,200,채소류,배추,5000.0,retail,"2026-01-29 10:22:18"
908,20240102,211,110408,200,채소류,배추,2490.0,retail,"2026-01-29 10:22:18"
909,20240102,211,370001,200,채소류,배추,4000.0,retail,"2026-01-29 10:22:18"
910,20240102,211,110213,200,채소류,배추,4380.0,retail,"2026-01-29 10:22:18"
911,20240102,211,380402,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
913,20240102,211,270101,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
914,20240102,211,321411,200,채소류,배추,3490.0,retail,"2026-01-29 10:22:18"
915,20240102,211,220024,200,채소류,배추,4000.0,retail,"2026-01-29 10:22:18"
917,20240102,211,310405,200,채소류,배추,2680.0,retail,"2026-01-29 10:22:18"
918,20240102,211,340401,200,채소류,배추,2480.0,retail,"2026-01-29 10:22:18"
919,20240102,211,110409,200,채소류,배추,3980.0,retail,"2026-01-29 10:22:18"
