"policy_id","analysis_date","item_cd","market_group","policy_type","horizon","lead_time","service_level","safety_stock_mean","safety_stock_std","reorder_point_mean","reorder_point_std","expected_cost_mean","expected_cost_std","fill_rate","model_version","created_at"
3733,20260129,319,"25",bayesian_newsvendor,1,1,0.9,561.6696207729935,423.917017764618,2086.2122842972008,423.917017764618,131.05417781933102,1054.3962720589432,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3734,20260129,319,"25",bayesian_newsvendor,3,3,0.9,1814.5348385989028,1344.2173131685513,6359.7693605881905,776.0842276072185,448.6440897404976,3115.9258972099774,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3735,20260129,319,"25",bayesian_newsvendor,3,7,0.9,4233.914623397441,3136.5070640599533,14839.461841372444,1185.4882395571387,1046.8362093944943,7270.493760156616,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3736,20260129,319,"25",bayesian_newsvendor,3,14,0.9,8467.829246794881,6273.014128119907,29678.923682744888,1676.5335464155103,2093.6724187889886,14540.987520313232,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3737,20260129,319,"25",bayesian_newsvendor,1,1,0.95,716.7571427871578,423.917017764618,2241.299806311365,423.917017764618,131.05417781933102,1054.3962720589432,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3738,20260129,319,"25",bayesian_newsvendor,3,3,0.95,2309.282807275091,1344.2173131685513,6854.5173292643785,776.0842276072185,448.6440897404976,3115.9258972099774,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3739,20260129,319,"25",bayesian_newsvendor,3,7,0.95,5388.326550308546,3136.5070640599533,15993.873768283549,1185.4882395571387,1046.8362093944943,7270.493760156616,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3740,20260129,319,"25",bayesian_newsvendor,3,14,0.95,10776.653100617092,6273.014128119907,31987.747536567098,1676.5335464155103,2093.6724187889886,14540.987520313232,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
3741,20260129,319,"25",bayesian_newsvendor,1,1,0.99,1287.6963680647084,423.917017764618,2812.2390315889156,423.917017764618,131.05417781933102,1054.3962720589432,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3742,20260129,319,"25",bayesian_newsvendor,3,3,0.99,3958.5964060041433,1344.2173131685513,8503.830927993431,776.0842276072185,448.6440897404976,3115.9258972099774,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3743,20260129,319,"25",bayesian_newsvendor,3,7,0.99,9236.724947343002,3136.5070640599533,19842.272165318005,1185.4882395571387,1046.8362093944943,7270.493760156616,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3744,20260129,319,"25",bayesian_newsvendor,3,14,0.99,18473.449894686004,6273.014128119907,39684.54433063601,1676.5335464155103,2093.6724187889886,14540.987520313232,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
3745,20260129,319,"31",bayesian_newsvendor,1,1,0.9,484.8736651689328,364.9508941964324,2043.485674873083,364.9508941964324,112.66764414858899,1078.4587229506012,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3746,20260129,319,"31",bayesian_newsvendor,3,3,0.9,1578.416718785431,1156.0451129071998,6184.70479446785,667.4429571323232,349.5250065199829,3177.22211984338,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3747,20260129,319,"31",bayesian_newsvendor,3,7,0.9,3682.972343832673,2697.4385967834664,14430.977853758315,1019.5359577080123,815.5583485466268,7413.518279634554,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3748,20260129,319,"31",bayesian_newsvendor,3,14,0.9,7365.944687665346,5394.877193566933,28861.95570751663,1441.8415787177132,1631.1166970932536,14827.036559269109,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
